"filename", "language", "Markdown", "YAML", "Dart", "JSON", "Swift", "XML", "C++", "HTML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\fabri\Desktop\eds_test\lib\models\comment.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\fabri\Desktop\eds_test\lib\models\photo.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\fabri\Desktop\eds_test\lib\models\post.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\fabri\Desktop\eds_test\lib\models\user.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 6, 79
"c:\Users\fabri\Desktop\eds_test\lib\routes\route_names.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\fabri\Desktop\eds_test\lib\services\api_service.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 2, 15, 90
"c:\Users\fabri\Desktop\eds_test\lib\services\localstorage_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 7, 32
"c:\Users\fabri\Desktop\eds_test\lib\services\navigation_service.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\fabri\Desktop\eds_test\pubspec.yaml", "YAML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\fabri\Desktop\eds_test\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 18, 7, 105
"c:\Users\fabri\Desktop\eds_test\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 4, 25, 1373, 180, 12, 123, 1, 80, 88, 8, 122, 241, 2257
